date,is_weekend,is_holiday,working_hours,holiday_name
8/10/2016,FALSE,FALSE,8,
8/11/2016,FALSE,FALSE,8,
8/12/2016,FALSE,FALSE,8,
8/13/2016,TRUE,FALSE,0,
8/14/2016,TRUE,FALSE,0,
8/15/2016,FALSE,FALSE,8,
8/16/2016,FALSE,FALSE,8,
8/17/2016,FALSE,FALSE,8,
8/18/2016,FALSE,FALSE,8,
8/19/2016,FALSE,FALSE,8,
8/20/2016,TRUE,FALSE,0,
8/21/2016,TRUE,FALSE,0,
8/22/2016,FALSE,FALSE,8,
8/23/2016,FALSE,FALSE,8,
8/24/2016,FALSE,FALSE,8,
8/25/2016,FALSE,FALSE,8,
8/26/2016,FALSE,FALSE,8,
8/27/2016,TRUE,FALSE,0,
8/28/2016,TRUE,FALSE,0,
8/29/2016,FALSE,FALSE,8,
8/30/2016,FALSE,FALSE,8,
8/31/2016,FALSE,FALSE,8,
9/1/2016,FALSE,FALSE,8,
9/2/2016,FALSE,FALSE,8,
9/3/2016,TRUE,FALSE,0,
9/4/2016,TRUE,FALSE,0,
9/5/2016,FALSE,TRUE,0,Labor Day
9/6/2016,FALSE,FALSE,8,
9/7/2016,FALSE,FALSE,8,
9/8/2016,FALSE,FALSE,8,
9/9/2016,FALSE,FALSE,8,
9/10/2016,TRUE,FALSE,0,
9/11/2016,TRUE,FALSE,0,
9/12/2016,FALSE,FALSE,8,
9/13/2016,FALSE,FALSE,8,
9/14/2016,FALSE,FALSE,8,
9/15/2016,FALSE,FALSE,8,
9/16/2016,FALSE,FALSE,8,
9/17/2016,TRUE,FALSE,0,
9/18/2016,TRUE,FALSE,0,
9/19/2016,FALSE,FALSE,8,
9/20/2016,FALSE,FALSE,8,
9/21/2016,FALSE,FALSE,8,
9/22/2016,FALSE,FALSE,8,
9/23/2016,FALSE,FALSE,8,
9/24/2016,TRUE,FALSE,0,
9/25/2016,TRUE,FALSE,0,
9/26/2016,FALSE,FALSE,8,
9/27/2016,FALSE,FALSE,8,
9/28/2016,FALSE,FALSE,8,
9/29/2016,FALSE,FALSE,8,
9/30/2016,FALSE,FALSE,8,
10/1/2016,TRUE,FALSE,0,
10/2/2016,TRUE,FALSE,0,
10/3/2016,FALSE,FALSE,8,
10/4/2016,FALSE,FALSE,8,
10/5/2016,FALSE,FALSE,8,
10/6/2016,FALSE,FALSE,8,
10/7/2016,FALSE,FALSE,8,
10/8/2016,TRUE,FALSE,0,
10/9/2016,TRUE,FALSE,0,
10/10/2016,FALSE,TRUE,0,Columbus Day
10/11/2016,FALSE,FALSE,8,
10/12/2016,FALSE,FALSE,8,
10/13/2016,FALSE,FALSE,8,
10/14/2016,FALSE,FALSE,8,
10/15/2016,TRUE,FALSE,0,
10/16/2016,TRUE,FALSE,0,
10/17/2016,FALSE,FALSE,8,
10/18/2016,FALSE,FALSE,8,
10/19/2016,FALSE,FALSE,8,
10/20/2016,FALSE,FALSE,8,
10/21/2016,FALSE,FALSE,8,
10/22/2016,TRUE,FALSE,0,
10/23/2016,TRUE,FALSE,0,
10/24/2016,FALSE,FALSE,0,Vacation
10/25/2016,FALSE,FALSE,0,Vacation
10/26/2016,FALSE,FALSE,0,Vacation
10/27/2016,FALSE,FALSE,0,Vacation
10/28/2016,FALSE,FALSE,0,Vacation
10/29/2016,TRUE,FALSE,0,
10/30/2016,TRUE,FALSE,0,
10/31/2016,FALSE,FALSE,8,
11/1/2016,FALSE,FALSE,8,
11/2/2016,FALSE,FALSE,8,
11/3/2016,FALSE,FALSE,8,
11/4/2016,FALSE,FALSE,8,
11/5/2016,TRUE,FALSE,0,
11/6/2016,TRUE,FALSE,0,
11/7/2016,FALSE,FALSE,8,
11/8/2016,FALSE,FALSE,8,
11/9/2016,FALSE,FALSE,8,
11/10/2016,FALSE,FALSE,8,
11/11/2016,FALSE,TRUE,8,Veterans Day
11/12/2016,TRUE,FALSE,0,
11/13/2016,TRUE,FALSE,0,
11/14/2016,FALSE,FALSE,8,
11/15/2016,FALSE,FALSE,8,
11/16/2016,FALSE,FALSE,8,
11/17/2016,FALSE,FALSE,8,
11/18/2016,FALSE,FALSE,8,
11/19/2016,TRUE,FALSE,0,
11/20/2016,TRUE,FALSE,0,
11/21/2016,FALSE,FALSE,8,
11/22/2016,FALSE,FALSE,8,
11/23/2016,FALSE,FALSE,8,
